IDCIDCATEGORIA,IDCIDSUBCATEGORIA,OPC,DESCRICAO,RESTRICAO
A31,A311,,A31.1 Infecc cutanea micobacteriana,5
A31,A318,,A31.8 Outr infecc micobacterianas,5
A31,A319,,A31.9 Infecc micobacteriana NE,5
A32,A320,,A32.0 Listeriose cutanea,5
A32,A321,+,A32.1 Meningite e meningoencefalite p/listeria,5
A32,A327,,A32.7 Septicemia listeriotica,5
A32,A328,,A32.8 Outr form de listeriose,5
A32,A329,,A32.9 Listeriose NE,5
A36,A360,,A36.0 Difteria faringea,5
A36,A361,,A36.1 Difteria nasofaringea,5
A36,A362,,A36.2 Difteria laringea,5
A36,A363,,A36.3 Difteria cutanea,5
A36,A368,,A36.8 Outr form de difteria,5
A36,A369,,A36.9 Difteria NE,5
A37,A370,,A37.0 Coqueluche p/Bordetella pertussis,5
A37,A371,,A37.1 Coqueluche p/Bordetella parapertussis,5
A37,A378,,A37.8 Coqueluche p/outr especies da Bordetella,5
A37,A379,,A37.9 Coqueluche NE,5
A39,A390,+,A39.0 Meningite meningococica,5
A39,A391,+,A39.1 Sindr de Waterhouse-Friderichsen,5
A39,A392,,A39.2 Meningococcemia aguda,5
A39,A393,,A39.3 Meningococcemia cronica,5
A39,A394,,A39.4 Meningococcemia NE,5
A39,A395,+,A39.5 Cardite p/meningococos,5
A39,A398,,A39.8 Outr infecc p/meningococos,5
A39,A399,,A39.9 Infecc meningococica NE,5
A40,A400,,A40.0 Septicemia p/Streptococcus do grupo A,5
A40,A401,,A40.1 Septicemia p/Streptococcus do grupo B,5
A40,A402,,A40.2 Septicemia p/Streptococcus do grupo D,5
A40,A403,,A40.3 Septicemia p/Streptococcus pneumonia,5
A40,A408,,A40.8 Outr septicemias estreptococicas,5
A40,A409,,A40.9 Septicemia estreptococica NE,5
A41,A410,,A41.0 Septicemia p/Staphylococcus aureus,5
A41,A411,,A41.1 Septicemia p/outr estafilococos espec,5
A41,A412,,A41.2 Septicemia p/estafilococos NE,5
A41,A413,,A41.3 Septicemia p/Haemophilus influenzae,5
A41,A414,,A41.4 Septicemia p/anaerobios,5
A41,A415,,A41.5 Septicemia p/outr microorg gram-negativos,5
A41,A418,,A41.8 Outr septicemias espec,5
A41,A419,,A41.9 Septicemia NE,5
A42,A420,,A42.0 Actinomicose pulmonar,5
A42,A421,,A42.1 Actinomicose abdominal,5
A42,A422,,A42.2 Actinomicose cervicofacial,5
A42,A427,,A42.7 Septicemia actinomicotica,5
A42,A428,,A42.8 Outr form de actinomicose,5
A42,A429,,A42.9 Actinomicose NE,5
A43,A430,,A43.0 Nocardiose pulmonar,5
A43,A431,,A43.1 Nocardiose cutanea,5
A43,A438,,A43.8 Outr form de nocardiose,5
A43,A439,,A43.9 Nocardiose NE,5
A44,A440,,A44.0 Bartonelose sistemica,5
A44,A441,,A44.1 Bartonelose cutanea e cutaneo-mucosa,5
A44,A448,,A44.8 Outr form de bartonelose,5
A44,A449,,A44.9 Bartonelose NE,5
A48,A480,,A48.0 Gangrena gasosa,5
A48,A481,,A48.1 Doenc dos legionarios,5
A48,A482,,A48.2 Doenc dos legionarios nao-pneumonica,5
A48,A483,,A48.3 Sindr do choque toxico,5
A48,A484,,A48.4 Febre purpurica do Brasil,5
A48,A488,,A48.8 Outr doenc bacter espec,5
A49,A490,,A49.0 Infecc estafilococica NE,5
A49,A491,,A49.1 Infecc estreptococica NE,5
A49,A492,,A49.2 Infecc p/Haemophilus influenzae NE,5
A49,A493,,A49.3 Infecc p/Mycoplasma NE,5
A49,A498,,A49.8 Outr infecc bacter de localiz NE,5
A49,A499,,A49.9 Infecc bacter NE,5
A50,A500,,A50.0 Sifilis congen precoce sintomatica,5
A50,A501,,A50.1 Sifilis congen precoce form latente,5
A50,A502,,A50.2 Sifilis congen precoce NE,5
A50,A503,,A50.3 Oculopatia sifilitica congen tard,5
A50,A504,,A50.4 Neurossifilis congen tard,5
A50,A505,,A50.5 Outr form tard e sintomat sifilis congen,5
A50,A506,,A50.6 Sifilis congen tard latente,5
A50,A507,,A50.7 Sifilis congen tard NE,5
A50,A509,,A50.9 Sifilis congen NE,5
A51,A510,,A51.0 Sifilis genital prim,5
A51,A511,,A51.1 Sifilis anal prim,5
A51,A512,,A51.2 Sifilis prim de outr localiz,5
A51,A513,,A51.3 Sifilis secund da pele e das mucosas,5
A51,A514,,A51.4 Outr form de sifilis secund,5
A51,A515,,A51.5 Sifilis precoce latente,5
A51,A519,,A51.9 Sifilis precoce NE,5
A52,A520,+,A52.0 Sifilis cardiovascular,5
A52,A521,,A52.1 Neurossifilis sintomatica,5
A52,A522,,A52.2 Neurossifilis assintomatica,5
A52,A523,,A52.3 Neurossifilis NE,5
A52,A527,,A52.7 Outr form de sifilis tard sintomatica,5
A52,A528,,A52.8 Sifilis tard latente,5
A52,A529,,A52.9 Sifilis tard NE,5
A53,A530,,A53.0 Sifilis latente NE se recente ou tard,5
A53,A539,,A53.9 Sifilis NE,5
A54,A540,,A54.0 Inf gon tr genit inf s/abs periur/gland aces,5
A54,A541,,A54.1 Inf gon tr genit inf c/abs periur/gland aces,5
A54,A542,+,A54.2 Pelviperit gonoc e outr infecc genitur gonoc,5
A54,A543,,A54.3 Infecc gonococica do olho,5
A54,A544,+,A54.4 Infecc gonococica sist musculo-esqueletico,5
A54,A545,,A54.5 Faringite gonococica,5
A54,A546,,A54.6 Infecc gonococica do anus ou do reto,5
A54,A548,,A54.8 Outr infecc gonococicas,5
A54,A549,,A54.9 Infecc gonococica NE,5
A56,A560,,A56.0 Infecc p/clamidias trato geniturinario infer,5
A56,A561,+,A56.1 Infecc p/clamid pelviper e outr org genitur,5
A56,A562,,A56.2 Infecc p/clamidias trato genitur localiz NE,5
A56,A563,,A56.3 Infecc do anus e do reto p/clamidias,5
A56,A564,,A56.4 Infecc da faringe p/clamidias,5
A56,A568,,A56.8 Infecc p/clamid transm p/via sex outr local,5
A59,A590,,A59.0 Tricomoniase urogenital,5
A59,A598,,A59.8 Outr localiz de tricomoniase,5
A59,A599,,A59.9 Tricomoniase NE,5
A60,A600,,A60.0 Infecc org genit trat genitur p/virus herpes,5
A60,A601,,A60.1 Infecc margem cutan anus/reto p/virus herpes,5
A60,A609,,A60.9 Infecc anogenital NE p/virus do herpes,5
A63,A630,,A63.0 Verrugas anogenitais,5
A63,A638,,A63.8 Outr doenc espec de transm predom sexual,5
A66,A660,,A66.0 Lesoes iniciais da bouba,5
A66,A661,,A66.1 Papilomas mult e bouba plantar umida,5
A66,A662,,A66.2 Outr lesoes cutaneas precoces da bouba,5
A66,A663,,A66.3 Hiperceratose dev bouba,5
A66,A664,,A66.4 Gomas e ulceras dev bouba,5
A66,A665,,A66.5 Gangosa,5
A66,A666,,A66.6 Lesoes osteoarticulares dev bouba,5
A66,A667,,A66.7 Outr manifestacoes da bouba,5
A66,A668,,A66.8 Bouba latente,5
A66,A669,,A66.9 Bouba NE,5
A67,A670,,A67.0 Lesoes prim da pinta,5
A67,A671,,A67.1 Lesoes intermediarias da pinta,5
A67,A672,,A67.2 Lesoes tard da pinta,5
A67,A673,,A67.3 Lesoes mistas da pinta,5
A67,A679,,A67.9 Pinta NE,5
A68,A680,,A68.0 Febre recorrente transm p/piolhos,5
A68,A681,,A68.1 Febre recorrente transm p/carrapatos,5
A68,A689,,A68.9 Febre recorrente NE,5
A69,A690,,A69.0 Estomatite ulcerativa necrotizante,5
A69,A691,,A69.1 Outr infecc de Vincent,5
A69,A692,,A69.2 Doenc de Lyme,5
A69,A698,,A69.8 Outr infecc espec p/espiroquetas,5
A69,A699,,A69.9 Infecc p/espiroqueta NE,5
A71,A710,,A71.0 Fase inicial do tracoma,5
A71,A711,,A71.1 Fase ativa do tracoma,5
A71,A719,,A71.9 Tracoma NE,5
A74,A740,+,A74.0 Conjuntivite causada p/clamidias,5
A74,A748,,A74.8 Outr doenc causadas p/clamidias,5
A74,A749,,A74.9 Infecc causada p/clamidias NE,5
A75,A750,,A75.0 Tifo epidem transm p/piolhos R. prowazekii,5
A75,A751,,A75.1 Tifo recrudescente,5
A75,A752,,A75.2 Tifo p/Rickettsia typhi,5
A75,A753,,A75.3 Tifo p/Rickettsia tsutsugamuchi,5
A75,A759,,A75.9 Tifo NE,5
A77,A770,,A77.0 Febre maculosa p/Rickettsia richettsii,5
A77,A771,,A77.1 Febre maculosa p/Rickettsia conorii,5
A77,A772,,A77.2 Febre maculosa dev Rickettsia siberica,5
A77,A773,,A77.3 Febre maculosa dev Rickettsia australis,5
A77,A778,,A77.8 Outr febres maculosas,5
A77,A779,,A77.9 Febre maculosa NE,5
A79,A790,,A79.0 Febre das trincheiras,5
A79,A791,,A79.1 Rickettsiose variceliforme dev R.akari,5
A79,A798,,A79.8 Outr tipos de rickettsioses espec,5
A79,A799,,A79.9 Rickettsiose NE,5
A80,A800,,A80.0 Poliomielite paral aguda assoc virus vacinal,5
A80,A801,,A80.1 Poliomiel paral aguda virus selvagem import,5
A80,A802,,A80.2 Poliomiel paral aguda virus selvagem indig,5
A80,A803,,A80.3 Poliomielites paraliticas agudas outr e NE,5
A80,A804,,A80.4 Poliomielite aguda nao-paralitica,5
A80,A809,,A80.9 Poliomielite aguda NE,5
A81,A810,,A81.0 Doenc de Creutzfeldt-Jakob,5
A81,A811,,A81.1 Panencefalite esclerosante subaguda,5
A81,A812,,A81.2 Leucoencefalopatia multifocal progressiva,5
A81,A818,,A81.8 Outr infecc p/virus atipic sist nerv central,5
A81,A819,,A81.9 Infecc NE sist nerv central p/virus atipico,5
A82,A820,,A82.0 Raiva silvestre,5
A82,A821,,A82.1 Raiva urbana,5
A82,A829,,A82.9 Raiva NE,5
A83,A830,,A83.0 Encefalite japonesa,5
A83,A831,,A83.1 Encefalite equina ocidental,5
A83,A832,,A83.2 Encefalite equina oriental,5
A83,A833,,A83.3 Encefalite de St. Louis,5
A83,A834,,A83.4 Encefalite australiana,5
A83,A835,,A83.5 Encefalite da California,5
A83,A836,,A83.6 Doenc p/virus de Rocio,5
A83,A838,,A83.8 Outr encefalites p/virus transm p/mosquitos,5
A83,A839,,A83.9 Encefalite NE p/virus transm p/mosquitos,5
A84,A840,,A84.0 Encefalite da taiga,5
A84,A841,,A84.1 Encefalite Europa Central transm p/carrapato,5
A84,A848,,A84.8 Outr encefalites p/virus transm p/carrapatos,5
A84,A849,,A84.9 Encefalite NE p/virus transm p/carrapatos,5
A85,A850,+,A85.0 Encefalite p/enterovirus,5
A85,A851,+,A85.1 Encefalite p/adenovirus,5
A85,A852,,A85.2 Encefalite p/virus transm p/artropodes NE,5
A85,A858,,A85.8 Outr encefalites virais espec,5
A87,A870,+,A87.0 Meningite p/enterovirus,5
A87,A871,+,A87.1 Meningite p/adenovirus,5
A87,A872,,A87.2 Coriomeningite linfocitaria,5
A87,A878,,A87.8 Outr meningites virais,5
A87,A879,,A87.9 Meningite viral NE,5
A88,A880,,A88.0 Febre exantematica p/enterovirus,5
A88,A881,,A88.1 Vertigem epidemica,5
A88,A888,,A88.8 Outr infecc virais espec sist nerv central,5
A92,A920,,A92.0 Febre de Chikungunya,5
A92,A921,,A92.1 Febre de Onyong-nyong,5
A92,A922,,A92.2 Febre equina venezuelana,5
A92,A923,,A92.3 Febre p/virus West Nile,5
A92,A924,,A92.4 Febre do vale do Rift,5
A92,A928,,A92.8 Outr febres virais espec transm p/mosquitos,5
A92,A929,,A92.9 Febre viral transm p/mosquitos NE,5
A93,A930,,A93.0 Febre de Oropouche,5
A93,A931,,A93.1 Febre p/flebotomos,5
A93,A932,,A93.2 Febre do Colorado transm p/carrapatos,5
A93,A938,,A93.8 Outr febres virais espec transm p/artropodes,5
A95,A950,,A95.0 Febre amarela silvestre,5
A95,A951,,A95.1 Febre amarela urbana,5
A95,A959,,A95.9 Febre amarela NE,5
A96,A960,,A96.0 Febre hemorragica de Junin,5
A96,A961,,A96.1 Febre hemorragica de Machupo,5
A96,A962,,A96.2 Febre de Lassa,5
A96,A968,,A96.8 Outr febres hemorragicas p/arenavirus,5
A96,A969,,A96.9 Febre hemorragica p/arenavirus NE,5
A98,A980,,A98.0 Febre hemorragica da Crimeia,5
A98,A981,,A98.1 Febre hemorragica de Omsk,5
A98,A982,,A98.2 Doenc da floresta de Kyasanur,5
A98,A983,,A98.3 Doenc de Marburg,5
A98,A984,,A98.4 Doenc p/virus Ebola,5
A98,A985,,A98.5 Febre hemorragica c/sindr renal,5
A98,A988,,A98.8 Outr febres hemorragicas espec p/virus,5
B00,B000,,B00.0 Eczema herpetico,5
B00,B001,,B00.1 Dermatite vesicular dev virus do herpes,5
B00,B002,,B00.2 Gengivoestom e faringoamig dev virus herpes,5
B00,B003,+,B00.3 Meningite dev virus do herpes,5
B00,B004,+,B00.4 Encefalite dev virus do herpes,5
B00,B005,+,B00.5 Afeccoes oculares dev virus do herpes,5
B00,B007,,B00.7 Doenc disseminada dev virus do herpes,5
B00,B008,,B00.8 Outr form de infecc dev virus do herpes,5
B00,B009,,B00.9 Infecc NE dev virus do herpes,5
B01,B010,+,B01.0 Meningite p/varicela,5
B01,B011,+,B01.1 Encefalite p/varicela,5
B01,B012,+,B01.2 Pneumopatia varicelosa,5
B01,B018,,B01.8 Varicela c/outr complic,5
B01,B019,,B01.9 Varicela s/complic,5
B02,B020,+,B02.0 Encefalite p/virus do herpes zoster,5
B02,B021,+,B02.1 Meningite p/virus do herpes zoster,5
B02,B022,+,B02.2 Herpes zoster acomp outr manif neurologicas,5
B02,B023,+,B02.3 Herpes zoster oftalmico,5
B02,B027,,B02.7 Herpes zoster disseminado,5
B02,B028,,B02.8 Herpes zoster c/outr complic,5
B02,B029,,B02.9 Herpes zoster s/complic,5
B05,B050,+,B05.0 Sarampo complicado p/encefalite,5
B05,B051,+,B05.1 Sarampo complicado p/meningite,5
B05,B052,+,B05.2 Sarampo complicado p/pneumonia,5
B05,B053,+,B05.3 Sarampo complicado p/otite media,5
B05,B054,,B05.4 Sarampo c/complic intestinais,5
B05,B058,,B05.8 Sarampo c/outr complic,5
B05,B059,,B05.9 Sarampo s/complic,5
B06,B060,+,B06.0 Rubeola c/complic neurologicas,5
B06,B068,,B06.8 Rubeola c/outr complic,5
B06,B069,,B06.9 Rubeola s/complic,5
B08,B080,,B08.0 Outr infecc p/ortopoxvirus,5
B08,B081,,B08.1 Molusco contagioso,5
B08,B082,,B08.2 Exantema subito,5
B08,B083,,B08.3 Eritema infecc,5
B08,B084,,B08.4 Estomatite vesic dev enterovirus c/exantema,5
B08,B085,,B08.5 Faringite vesicular dev enterovirus,5
B08,B088,,B08.8 Outr inf virais espec lesoes pele membr muco,5
B15,B150,,B15.0 Hepatite A c/coma hepatico,5
B15,B159,,B15.9 Hepatite A s/coma hepatico,5
B16,B160,,B16.0 Hepatite aguda B c/agente Delta c/coma hepat,5
B16,B161,,B16.1 Hepatite aguda B c/agente Delta s/coma hepat,5
B16,B162,,B16.2 Hepatite aguda B s/agente Delta c/coma hepat,5
B16,B169,,B16.9 Hepatite aguda B s/agente Delta s/coma hepat,5
B17,B170,,B17.0 Infecc Delta aguda de portador de hepatite B,5
B17,B171,,B17.1 Hepatite aguda C,5
B17,B172,,B17.2 Hepatite aguda E,5
B17,B178,,B17.8 Outr hepatites virais agudas espec,5
B18,B180,,B18.0 Hepatite viral cronica B c/agente Delta,5
B18,B181,,B18.1 Hepatite cronica viral B s/agente Delta,5
B18,B182,,B18.2 Hepatite viral cronica C,5
B18,B188,,B18.8 Outr hepatites cronicas virais,5
B18,B189,,B18.9 Hepatite viral cronica NE,5
B19,B190,,B19.0 Hepatite viral NE c/coma,5
B19,B199,,B19.9 Hepatite viral NE s/coma,5
B20,B200,,B20.0 Doenc p/HIV result em infecc micobacterianas,5
B20,B201,,B20.1 Doenc p/HIV result outr infecc bacter,5
B20,B202,,B20.2 Doenc p/HIV result em doenc citomegalica,5
B20,B203,,B20.3 Doenc p/HIV result em outr infecc virais,5
B20,B204,,B20.4 Doenc p/HIV result em candidiase,5
B20,B205,,B20.5 Doenc p/HIV result em outr micoses,5
B20,B206,,B20.6 Doenc p/HIV result pneumonia p/P.carinii,5
B20,B207,,B20.7 Doenc p/HIV result em infecc mult,5
B20,B208,,B20.8 Doenc p/HIV result outr doenc infecc parasit,5
B20,B209,,B20.9 Doenc p/HIV result doenc infecc parasit NE,5
B21,B210,,B21.0 Doenc p/HIV result em sarcoma de Kaposi,5
B21,B211,,B21.1 Doenc p/HIV result em linfoma de Burkitt,5
B21,B212,,B21.2 Doenc p/HIV res outr tip linfoma nao-Hodgkin,5
B21,B213,,B21.3 Doenc p/HIV out neop mal tec linf hemat corr,5
B21,B217,,B21.7 Doenc p/HIV result em mult neopl malig,5
B21,B218,,B21.8 Doenc p/HIV result em outr neopl malig,5
B21,B219,,B21.9 Doenc p/HIV result em neopl malig NE,5
B22,B220,,B22.0 Doenc p/HIV result em encefalopatia,5
B22,B221,,B22.1 Doenc p/HIV result pneumonite interst linfat,5
B22,B222,,B22.2 Doenc p/HIV result em sindr de emaciacao,5
B22,B227,,B22.7 Doenc p/HIV result em doenc mult COP,5
B23,B230,,B23.0 Sindr de infecc aguda p/HIV,5
B23,B231,,B23.1 Doenc p/HIV result linfadenopatias generaliz,5
B23,B232,,B23.2 Doenc p/HIV result anom hemat imunolog NCOP,5
B23,B238,,B23.8 Doenc p/HIV result em outr afeccoes espec,5
B25,B250,+,B25.0 Pneumonite p/citomegalovirus,5
B25,B251,+,B25.1 Hepatite p/citomegalovirus,5
B25,B252,+,B25.2 Pancreatite p/citomegalovirus,5
B25,B258,,B25.8 Outr doenc p/citomegalovirus,5
B25,B259,,B25.9 Doenc NE p/citomegalovirus,5
B26,B260,+,B26.0 Orquite p/caxumba,1
B26,B261,+,B26.1 Meningite p/caxumba,5
B26,B262,+,B26.2 Encefalite p/caxumba,5
B26,B263,+,B26.3 Pancreatite p/caxumba,5
B26,B268,,B26.8 Caxumba c/outr complic,5
B26,B269,,B26.9 Caxumba s/complic,5
B27,B270,,B27.0 Mononucleose p/virus herpes gama,5
B27,B271,,B27.1 Mononucleose p/citomegalovirus,5
B27,B278,,B27.8 Outr mononucleoses infecc,5
B27,B279,,B27.9 Mononucleose infecc NE,5
B30,B300,+,B30.0 Ceratoconjuntivite dev adenovirus,5
B30,B301,+,B30.1 Conjuntivite dev adenovirus,5
B30,B302,,B30.2 Faringoconjuntivite viral,5
B30,B303,+,B30.3 Conjuntivite hemorragica aguda endemica,5
B30,B308,+,B30.8 Outr conjuntivites virais,5
B30,B309,,B30.9 Conjuntivite viral NE,5
B33,B330,,B33.0 Mialgia epidemica,5
B33,B331,,B33.1 Doenc de Ross River,5
B33,B332,,B33.2 Cardite viral,5
B33,B333,,B33.3 Infecc p/retrovirus NCOP,5
B33,B338,,B33.8 Outr doenc espec p/virus,5
B34,B340,,B34.0 Infecc p/adenovirus NE,5
B34,B341,,B34.1 Infecc p/enterovirus NE,5
B34,B342,,B34.2 Infecc p/coronavirus NE,5
B34,B343,,B34.3 Infecc p/parvovirus NE,5
B34,B344,,B34.4 Infecc p/papovavirus NE,5
B34,B348,,B34.8 Outr infecc p/virus de localiz NE,5
B34,B349,,B34.9 Infecc viral NE,5
